regi_ts,user_id,regi_geo,is_verified,pageviews,follows,likes,reblogs,original_posts,searches,unfollows,received_engagments,regi_device,regi_source
1441080007,0,CN,0,3,1,0,0,0,7,1,0,android,none
1441080029,1,PE,0,7,2,1,0,1,0,0,0,android,none
1441080046,2,PE,0,0,2,0,0,0,0,0,0,web,iframe_follow
1441080069,3,ID,0,1,1,0,250,0,0,0,0,web,login
1441080095,4,,1,0,0,0,0,0,0,0,0,android,none
1441080123,5,US,1,1,0,0,0,0,0,0,0,web,login
1441080152,6,TW,0,1,2,0,0,0,0,0,0,web,iframe_follow
1441080218,7,US,0,8,33,0,2,0,1,0,0,iphone,none
1441080241,8,US,1,12,1,0,0,2,0,0,0,web,web_google
1441080313,9,US,0,1,3,0,0,0,0,0,0,iphone,none
1441080368,10,,0,0,0,0,0,0,0,0,0,android,none
1441080402,11,MY,0,3,8,0,0,1,4,0,0,android,none
1441080446,12,CA,0,11,8,1,1,0,8,0,0,android,none
1441080527,13,CA,1,2,45,32,1,0,0,2,0,web,login
1441080549,14,US,0,1,0,0,0,0,4,0,0,android,none
1441080575,15,US,0,1,0,0,0,0,22,0,0,android,none
1441080604,16,US,1,8,0,0,0,2,0,0,0,web,login
1441080637,17,IN,0,2,1,0,0,0,0,0,0,android,none
1441080665,18,US,0,1,0,0,0,0,2,0,0,iphone,none
1441080690,19,AU,0,2,0,0,0,0,0,0,0,web,login
1441080735,20,BR,0,2,4,0,0,0,4,0,0,android,none
1441080761,21,US,0,2,2,2,0,0,7,0,0,iphone,none
1441080792,22,US,1,5,5,0,0,0,0,3,0,web,other
1441080814,23,US,0,2,5,42,0,0,0,0,0,android,none
1441080839,24,CN,0,14,6,0,0,0,1,0,0,android,none
1441080918,25,PE,0,1,2,0,0,0,0,0,0,web,tumblelog_reblog
1441080940,26,CA,0,0,2,0,0,0,0,0,0,web,follow
1441080966,27,,1,0,0,0,0,0,0,0,0,web,no_referer
1441081056,28,US,1,18,10,0,0,3,8,0,0,web,follow
1441081088,29,CA,0,7,0,4,0,0,0,0,0,iphone,none
1441081110,30,US,0,5,5,15,7,1,0,1,0,android,none
1441081133,31,US,0,1,0,0,0,1,0,0,0,android,none
1441081197,32,US,0,1,0,0,0,0,13,0,0,web,login
1441081226,33,US,0,2,0,0,0,0,0,0,0,iphone,none
1441081257,34,MX,1,5,2,0,0,0,9,0,0,android,none
1441081281,35,MY,1,2,0,0,0,0,2,0,0,iphone,none
1441081314,36,US,1,1,0,0,0,0,0,0,0,android,none
1441081339,37,CN,0,9,21,0,0,0,23,8,0,android,none
1441081364,38,US,0,1,6,2,0,1,3,0,0,iphone,none
1441081390,39,GB,0,2,0,1,0,0,10,0,0,iphone,none
1441081440,40,US,0,5,6,4,0,2,1,0,0,android,none
1441081465,41,US,1,18,15,0,0,0,9,4,0,android,none
1441081499,42,US,1,15,0,0,0,3,0,0,0,web,login
1441081527,43,,1,0,0,0,0,0,0,0,0,web,no_referer
1441081564,44,US,1,1,0,0,0,0,0,0,0,web,login
1441081588,45,IN,0,7,13,0,0,2,4,0,0,android,none
1441081613,46,US,0,4,0,0,0,0,11,0,0,android,none
1441081642,47,TH,0,0,0,0,0,0,0,0,0,android,none
1441081666,48,CO,0,6,35,0,0,0,3,2,0,android,none
1441081690,49,US,0,2,23,1,0,0,14,0,0,android,none
1441081714,50,US,0,2,2,0,0,0,4,0,0,iphone,none
1441081738,51,US,0,1,1,0,0,0,0,0,0,android,none
1441081800,52,TR,0,2,3,0,0,0,3,0,0,android,none
1441081833,53,,0,0,0,0,0,0,0,0,0,android,none
1441081863,54,BR,0,0,0,0,0,0,0,0,0,android,none
1441081898,55,US,0,1,5,0,0,0,0,0,0,iphone,none
1441081924,56,US,0,1,4,0,0,0,0,0,0,iphone,none
1441081952,57,,0,0,0,0,0,0,0,0,0,web,login
1441081972,58,PH,0,1,5,1,0,1,0,0,0,android,none
1441082001,59,US,1,2,9,0,0,0,0,1,0,web,login
1441082026,60,US,1,2,0,0,0,0,0,0,0,web,no_referer
1441082082,61,ID,0,1,1,0,250,0,0,0,0,web,login
1441082114,62,IN,0,2,2,0,0,0,0,1,0,android,none
1441082143,63,,0,0,0,0,0,0,0,0,0,android,none
1441082176,64,US,1,4,7,0,0,0,0,1,0,web,other
1441082206,65,AU,0,1,0,0,0,0,1,0,0,android,none
1441082233,66,MY,0,5,2,0,0,0,3,0,0,android,none
1441082260,67,EC,0,0,3,0,0,0,0,0,0,web,iframe_follow
1441082278,68,GB,0,1,1,4,0,0,8,0,0,iphone,none
1441082339,69,IN,0,1,0,0,0,0,0,0,0,iphone,none
1441082369,70,US,0,1,2,9,0,0,6,0,0,android,none
1441082401,71,BR,0,1,1,0,0,0,0,0,0,android,none
1441082427,72,US,0,0,0,0,0,0,0,0,0,android,none
1441082466,73,,0,0,0,0,0,0,0,0,0,android,none
1441082489,74,US,0,1,0,0,0,0,28,0,0,web,login
1441082519,75,US,1,1,0,0,0,0,0,0,0,web,other
1441082544,76,US,0,15,2,0,0,2,11,0,0,web,login
1441082573,77,US,0,2,4,2,0,0,0,1,1,android,none
1441082598,78,GB,1,12,6,0,0,0,0,5,2,web,login
1441082653,79,AU,0,1,1,0,0,0,0,0,0,web,follow
1441082686,80,CA,0,0,2,0,0,0,0,0,0,web,follow_page_2
1441082712,81,,0,0,0,0,0,0,0,0,0,android,none
1441082736,82,US,0,3,0,0,0,0,0,0,0,android,none
1441082767,83,US,0,0,0,0,0,0,0,0,0,iphone,none
1441082793,84,HK,0,11,11,0,0,0,5,1,0,android,none
1441082818,85,US,1,9,1,1,0,2,4,0,0,web,login
1441082852,86,US,0,8,3,0,1,0,9,0,0,iphone,none
1441082874,87,US,1,1,18,0,0,0,0,0,0,iphone,none
1441082903,88,CN,0,6,7,0,0,0,9,2,0,android,none
1441082935,89,US,0,1,0,0,0,0,0,0,0,iphone,none
1441082998,90,MY,1,17,9,7,0,0,25,0,0,iphone,none
1441083022,91,US,0,15,1,0,0,0,0,0,1,iphone,none
1441083049,92,KR,0,8,1,0,0,0,24,0,0,android,none
1441083079,93,US,1,4,3,0,0,0,17,0,0,iphone,none
1441083147,94,,0,0,0,0,0,0,0,0,0,web,login
1441083266,95,US,1,11,48,159,56,0,23,6,1,android,none
1441083300,96,SG,0,0,0,0,0,0,0,0,0,web,other
1441083330,97,TW,1,7,3,6,0,0,0,0,0,android,none
1441083370,98,BR,1,1,2,1,0,0,0,0,0,android,none
1441083430,99,US,1,1,0,0,0,0,0,0,0,android,none
1441083463,100,MY,0,4,9,0,0,0,19,1,0,android,none
1441083503,101,AU,0,3,4,0,0,1,5,0,0,android,none
1441083534,102,US,0,4,3,0,0,0,7,0,0,iphone,none
1441083591,103,CA,1,17,23,0,3,0,5,0,1,web,other
1441083624,104,US,1,6,0,0,0,0,22,0,0,android,none
1441083653,105,PE,0,2,1,0,0,4,0,0,0,iphone,none
1441083693,106,US,1,2,1,0,0,0,1,1,0,iphone,none
1441083735,107,US,0,0,0,0,0,0,0,0,0,iphone,none
1441083766,108,US,0,0,0,0,0,0,0,0,0,android,none
1441083799,109,US,1,2,0,0,0,0,18,0,0,iphone,none
1441083829,110,US,0,122,25,3,20,1,33,0,1,web,login
1441083872,111,US,0,4,0,0,0,10,0,0,0,iphone,none
1441083905,112,US,1,5,0,0,0,0,0,0,1,iphone,none
1441083940,113,US,1,23,6,0,0,1,17,1,0,web,login
1441083974,114,CA,0,3,4,0,0,1,4,0,0,iphone,none
1441084003,115,US,1,34,153,435,86,3,118,0,39,android,none
1441084026,116,US,0,2,0,0,0,0,33,0,0,android,none
1441084062,117,KR,0,2,10,0,0,0,3,0,0,android,none
1441084105,118,JP,1,1,0,0,0,0,2,0,0,android,none
1441084141,119,US,0,1,0,0,0,0,1,0,0,iphone,none
1441084173,120,US,0,3,5,0,0,0,2,1,0,web,web_google
1441084206,121,NP,0,1,0,0,0,0,3,0,0,android,none
1441084270,122,KR,0,2,2,1,0,0,7,0,0,android,none
1441084360,123,CN,0,68,200,244,4,2,36,2,1,android,none
1441084417,124,MX,0,1,0,0,0,0,0,0,0,iphone,none
1441084456,125,BR,0,4,0,0,0,0,0,0,0,iphone,none
1441084519,126,DK,1,1,2,0,0,0,0,0,0,iphone,none
1441084601,127,MY,0,2,0,0,0,0,1,0,0,android,none
1441084661,128,RU,0,5,1,0,0,2,0,0,0,web,login
1441084696,129,IN,1,3,0,0,0,1,0,0,0,web,no_referer
1441084723,130,US,0,1,0,0,0,0,0,0,0,iphone,none
1441084753,131,US,0,6,10,0,0,0,87,0,0,android,none
1441084780,132,NG,0,1,11,0,0,0,0,1,0,android,none
1441084802,133,IN,1,2,0,0,0,1,0,0,0,web,other
1441084862,134,TR,0,1,1,0,0,0,4,0,0,iphone,none
1441084896,135,US,1,2,0,0,0,0,9,0,0,android,none
1441084930,136,BR,0,1,1,0,0,0,1,0,0,web,login
1441084958,137,US,0,2,0,0,0,0,0,0,0,iphone,none
1441085052,138,US,1,2,0,0,0,0,0,0,0,android,none
1441085083,139,CA,1,3,52,1,0,0,65,0,0,android,none
1441085194,140,US,1,1,0,0,0,0,0,0,0,web,login
1441085269,141,ID,0,19,6,0,254,0,0,0,0,web,login
1441085304,142,GB,0,6,12,0,0,0,0,0,0,web,web_google
1441085344,143,US,0,1,0,0,0,0,0,0,0,iphone,none
1441085401,144,US,0,1,5,124,0,0,143,0,0,android,none
1441085422,145,PA,1,4,1,0,0,0,0,0,0,android,none
1441085454,146,DE,0,3,8,1,0,0,10,1,0,web,no_referer
1441085564,147,US,0,40,10,0,0,0,0,0,0,android,none
1441085601,148,US,1,7,0,0,0,0,5,0,0,iphone,none
1441085639,149,HK,1,9,9,15,0,0,15,0,0,web,follow_page_2
1441085669,150,US,1,1,0,0,0,0,0,0,0,android,none
1441085702,151,KR,0,2,0,0,0,0,1,0,0,android,none
1441085723,152,MX,0,9,24,5,0,2,11,0,0,iphone,none
1441085749,153,IN,1,2,1,0,0,0,0,0,0,android,none
1441085782,154,US,1,3,24,0,0,0,12,2,0,web,login
1441085817,155,,0,0,0,0,0,0,0,0,0,android,none
1441085897,156,CL,0,6,1,0,0,1,3,0,0,android,none
1441085924,157,CA,0,1,0,0,0,0,0,0,0,android,none
1441086021,158,US,0,1,0,0,0,0,2,0,0,iphone,none
1441086057,159,US,1,1,0,0,0,0,1,0,0,android,none
1441086084,160,PH,1,3,0,0,0,0,0,0,0,web,login
1441086124,161,ID,0,1,1,0,250,0,0,0,0,web,login
1441086165,162,US,0,1,0,0,0,0,7,0,0,iphone,none
1441086198,163,US,0,1,0,1,0,0,3,0,0,iphone,none
1441086264,164,US,1,4,0,0,0,0,1,0,0,iphone,none
1441086290,165,US,0,11,0,3,0,0,1,0,0,iphone,none
1441086328,166,US,0,1,0,0,0,0,0,0,0,iphone,none
1441086362,167,US,1,1,0,0,0,0,0,0,0,web,web_google
1441086546,168,BR,0,1,0,0,0,0,0,0,0,android,none
1441086585,169,US,0,0,0,0,0,0,0,0,0,android,none
1441086620,170,US,0,4,0,0,0,0,56,0,0,web,no_referer
1441086654,171,MX,0,8,3,8,20,0,42,0,0,web,login
1441086677,172,US,1,5,18,9,0,0,1,0,0,android,none
1441086711,173,US,0,1,0,1,1,0,5,0,0,iphone,none
1441086745,174,ID,0,3,0,0,0,0,0,0,0,android,none
1441086782,175,PH,1,4,0,0,0,3,0,0,0,web,no_referer
1441086806,176,US,0,4,3,0,0,0,20,1,0,web,login
1441086845,177,US,0,2,1,0,0,1,7,0,0,iphone,none
1441086906,178,US,1,2,3,30,29,0,1,0,0,iphone,none
1441086938,179,KR,0,0,1,0,0,0,0,0,0,web,login
1441086976,180,,1,0,0,0,0,0,0,0,0,web,web_google
1441087011,181,BR,0,5,1,0,0,0,11,0,0,android,none
1441087046,182,PE,1,2,7,0,0,1,4,0,0,android,none
1441087081,183,IN,1,25,0,0,0,2,0,0,0,web,no_referer
1441087114,184,US,1,14,7,1,12,1,7,0,0,android,none
1441087180,185,MY,0,6,0,0,0,2,0,0,0,android,none
1441087208,186,US,0,2,0,0,0,0,3,0,0,web,login
1441087242,187,US,1,1,0,0,0,0,0,0,0,android,none
1441087274,188,KR,0,26,1,0,0,0,0,0,0,web,no_referer
1441087305,189,US,0,1,0,0,0,0,2,0,0,iphone,none
1441087381,190,US,1,33,3,0,6,0,46,0,0,web,login
1441087420,191,SA,0,2,0,0,0,0,38,0,0,android,none
1441087460,192,PH,0,1,0,0,0,0,17,0,0,iphone,none
1441087500,193,US,0,7,1,11,1,2,2,0,0,web,iframe_follow
1441087535,194,GB,0,2,0,1,0,0,7,0,0,iphone,none
1441087566,195,MY,0,2,4,0,0,0,2,0,0,iphone,none
1441087600,196,SG,0,7,8,0,0,1,6,1,0,web,iframe_logo
1441087632,197,JP,1,1,16,0,0,0,0,0,0,web,login
1441087661,198,MY,0,1,0,1,0,0,9,0,0,iphone,none
1441087765,199,CA,0,6,5,6,0,3,3,0,0,iphone,none
1441087793,200,US,1,2,0,0,0,0,0,0,0,web,no_referer
1441087848,201,IN,0,1,0,0,0,0,3,0,0,web,login
1441087876,202,US,0,9,6,0,0,0,8,0,0,web,follow
1441087912,203,IN,1,18,6,1,0,1,0,0,0,web,login
1441087990,204,ES,1,1,0,0,0,0,20,0,0,android,none
1441088023,205,SA,0,4,1,2,1,0,0,0,0,iphone,none
1441088057,206,ID,1,23,0,0,0,11,0,0,0,web,no_referer
1441088085,207,US,1,1,0,0,0,0,0,0,0,android,none
1441088123,208,GB,0,1,0,0,0,0,65,0,0,web,web_google
1441088203,209,US,0,9,28,5,6,0,16,0,1,iphone,none
1441088233,210,AU,0,4,3,1,0,0,3,0,0,iphone,none
